"Timestamp";"PolicyName";"PolicyId";"PolicyType";"Kategorie";"NeueZuweisung";"FilterName";"FilterId";"FilterTyp";"Empfehlung";"EmpfehlungGefolgt"
"2026-03-02 11:39:56";"Intune_Custom-StartLayout_Standard_WIN11";"1e32151a-20ab-42c3-a0f4-2117907e21ca";"deviceConfigurations";"Device Configuration (Legacy)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:40:01";"Intune_DeviceRestrictions_Standard_WIN";"4868315d-33e8-42b1-9481-20194dae7653";"deviceConfigurations";"Device Configuration (Legacy)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:40:37";"Intune_EndpointProtection_Standard_WIN";"7e799c5a-3054-4a6b-8c62-dda085dd36ab";"deviceConfigurations";"Device Configuration (Legacy)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:40:46";"Intune_Windows-Health-Monitoring_Standard_WIN";"0cf5b16d-e46f-46cf-abb7-754240111d75";"deviceConfigurations";"Device Configuration (Legacy)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:41:15";"MDE_ASR-ApplicationControl_Standard_WIN";"862e27c0-0354-4901-98d9-aa9797d40362";"intents";"Endpoint Security (Intent)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:42:09";"MDE_AccountProtection_Local-Group-Administration_WIN";"9bea9548-3e74-44ae-a437-f9b41fae0d34";"configurationPolicies";"Endpoint Security (Settings Catalog)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:42:18";"MDE_AccountProtection_Windows-LAPS_WIN";"df943a0b-5cb5-42e8-9f5f-2eaecfacde22";"configurationPolicies";"Endpoint Security (Settings Catalog)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:42:30";"MDE_ASR-AppBrowserIsolation_Standard_WIN";"fd35a014-b2a6-4b7a-b23c-d47c6118a7bc";"configurationPolicies";"Endpoint Security (Settings Catalog)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:42:32";"MDE_ASR-AttackSurfaceReductionRules_Standard_WIN";"ec9098a4-f1ab-41b5-afdd-9412abf57225";"configurationPolicies";"Endpoint Security (Settings Catalog)";"AllUsers";"";"";"none";"AllUsers";"True"
"2026-03-02 11:42:35";"MDE_ASR-DeviceControl_Standard_WIN";"b0e212d6-b6e2-4dda-9001-902896335923";"configurationPolicies";"Endpoint Security (Settings Catalog)";"AllUsers";"";"";"none";"AllUsers";"True"
